key,Col2,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col92,Col93,Col94,Col95,Col96,Col97,Col99,Col101,Col102,Col103,Col104,Col146,Col147,Col148,Col149,Col150,Col153,Col154,Col155,Col156,Col157,Col158,Col159
2412미래,2412,32404438.804746,15392284.369489,11969183.336759,3499463.44569,142042.965503,0.47500542941773227,0.3693686352317256,0.10799333593697243,29851200.854978,26248411.835353,2553237.949768,2553237.949768,,-190609.909176,1942924.078999,3019027.063545,3019027.063545,,,,-190609.909176,,,,,,,0.0,119275.544347,983399.644285,864124.099938,-4336.640029,-2073905.147373,805.881624,2065232.936402,20023.981185,23553.670503,114938.904318,883.982452,115822.88677,125038.95284,0.0,9.094947017729282e-12,0.0,119275.544347,-4336.640029,883.982452,115822.88677,400218.841246,187559.891758,,-887196.893983,108707.310233,0.209707,101.415668,,-190609.909176,-0.6838050000369549,1817884.442354,,125038.95284,,,1942924.078999,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.97,1.03,-0.06000000000000005,1.0618556701030928,322240,-284866,41396,479026,-341670,-322240,284866,-41396,-479026,341670,24576,0.0
2412삼성,2412,275321056.0,35547807.0,161933749.0,45371811.0,21523726.0,0.12911401516635182,0.5881633295783959,0.16479600819197787,250223698.0,202156297.0,25097358.0,25097358.0,,13101010.0,14000586.0,37527725.0,37527725.0,,,,13101010.0,,,,,,,0.0,541990.0,9118505.0,8576515.0,1000936.0,-6208429.0,51144.0,7566803.0,334101.0,-74481.0,1542926.0,278364.0,1821290.0,1486936.0,0.0,0.0,0.0,541990.0,1000936.0,278364.0,1821290.0,26354009.0,-4538274.0,,-9035861.0,354297.0,,-33161.0,,13101010.0,,13177954.0,-664427.0,1486936.0,123.0,,14000586.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.9079999999999999,0.99,-0.08200000000000007,1.090308370044053,,,,,,,,,,,,
2412교보,2412,122408983.045999,32211658.924788,58025921.849151,21294759.61627,2910745.314498,0.26314783542220477,0.4740331992411533,0.17396402687430076,115103965.327422,94441284.045036,5099291.510364,7305017.718577,2205726.208213,-2205732.209538,7034002.116592,9975755.359695,8368314.931482,,,,-2205732.209538,-3305617,230655,3809,,,43453,,473623.864404,4010999.811204,3537375.9468,671399.62773,-2923905.728455,-3376.843818,2840214.029654,87499.136193,845967.306542,1145023.492134,-264233.609378,880789.882756,698736.08934,-1.1641532182693481e-10,-1.1641532182693481e-10,0.0,473623.864404,671399.62773,-264233.609378,880789.8827559999,1670167.445676,254014.466024,-3355.361292,-4161073.809181,36349.57474,-9037.39532,7202.869815,,-2205732.209538,-4.656612873077393e-10,6427125.882496,,698736.08934,,-91708.112504,7034002.116592,0.0,86660888.0,1342338.0,6438058.0,1371568,600984,-260820,103371,5824923,0.0,572479,948672,775664,1421174,2720068,6438058.0,0.0,0.0,,,,,,,,0.764,0.759,0.0050000000000000044,0.993455497382199,596500,-700700,-132100,-39300,805700,-596500,700700,132100,39300,-805700,269400,0.0
2412한화,2412,122135032.514289,31134350.891287,45320455.403193,29034490.458028,11749528.774494,0.25491744874792155,0.37106843524105826,0.2377245075415291,111800028.744522,97152188.029019,9238177.209766999,10335003.769767,1096826.56,,6886476.536712,11387117.872621,10888774.071070999,122135032.514289,,,,-494347,1364792,-601,,,87084,,506304.846307,4921893.223166,4415588.376859,76154.032935,-3043794.483377,3335.059585,3581968.69996,125312.567078,-340042.676155,582458.879242,322462.496064,904921.375306,720569.729169,0.0,-2.9103830456733704e-11,0.0,506304.846307,76154.032935,322462.496064,904921.375306,,1187895.853671,,-3617111.004631,201106.887433,1682.091422,-9730.741657,,,,6306958.210225,,720569.729169,,-28342.865182,6886476.536712,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.97,-0.06999999999999995,1.0777777777777777,747574,-519818,95637,-433845,1868663,-747574,519818,-95637,433845,-1868663,7611,0.0
2412신한라이프,2412,59617796.0,11579983.0,37647435.0,3931915.0,274581.0,0.19423701942956764,0.631479818542772,0.06595203552979383,52555228.0,48419650.0,6763116.0,7062568.0,299452.0,-1474062.0,6837420.0,8446549.0,8147097.0,54103400.0,52418100.0,0.9690000000000001,-1474062.0,,,,,,,0.0,658381.0,2900268.0,2126852.0,80188.0,-1705436.0,56.0,1874287.0,16291.0,-72428.0,738569.0,-2961.0,735608.0,533681.0,0.0,0.0,0.0,658381.0,80188.0,-2961.0,735608.0,117417.0,729954.0,,-2354947.0,45219.0,,-12594.0,,-1474062.0,,6629922.0,-315343.0,533681.0,,-10800.0,6837420.0,0.0,39849028.0,1346089.0,7224114.0,1264682,732650,-732472,255829,7168725,0.0,,,,,,7224114.0,,0.0,2.057,9625400,4680000,2.057,9625400,4680000,,0.9311,0.9626,-0.03149999999999997,1.0338309526366662,282107,-468866,-245474,219456,995500,-408712,455092,258604,-217764,-869943,50251,0.0
2412동양,2412,34577574.866215,5857335.621093,20037393.225611,7063305.228962,121642.754136,0.1693969471183497,0.5794909938923769,0.20427416486814995,32567035.838663,28221455.749061,1665971.666805,2010539.027552,344567.360747,-1105739.275686,1561498.237695,2951746.817761,2607179.4570139996,,,,-1105739.275686,-1064154,-133478,10550,82084,15602,-20939,4595.724313999992,274408.160826,1233613.962236,959205.80141,104644.860142,-953707.739088,7142.640596,929514.3194560001,4454.766395,126150.405573,379053.020968,2919.9416670000064,381972.962635,310158.029898,0.0,8.731149137020111e-11,0.0,274408.160826,104644.860142,2919.9416670000064,381972.962635,56405.467597,174620.280915,,-1409333.19889,62766.693835,7.626281,-9514.257482,,-1105739.275686,19308.11205799994,1340967.332608,-62378.1052,310158.029898,,-21026.018713,1561498.237695,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.853,,,,,,,,,,,,,,,
2412KB라이프,2412,33717436.0,8505252.0,21575283.0,1804985.0,149839.0,0.25225085323806945,0.6398850434534821,0.053532688547254896,29180278.0,27209738.0,4487358.0,4537158.0,49800.0,363125.0,3145930.0,5363506.0,5313706.0,,,,363125.0,,,,,,,0.0,313810.0,865050.0,551240.0,87610.0,-1098072.0,-457.0,,,102498.0,401420.0,-3515.0,397905.0,299878.0,0.0,,0.0,313810.0,87610.0,-3515.0,397905.0,1336551.0,498752.0,,-1476783.0,132.0,,-3277.0,,363125.0,,2998852.0,-150000.0,299878.0,,-2800.0,3145930.0,0.0,23688473.0,510756.0,3010509.0,501304,293080,-500612,246142,3179826,123071.0,,,,,,3010509.0,,0.0,,,,,,,,,,,,509858,-209016,-170412,-65410,419777,-509858,209016,170412,65410,-419778,-15814,0.0
2412삼성화재,2412,85223562.940379,12871140.40956,37005933.194439,29366104.823038,750180.730392,0.1510279547754233,0.43422185036229644,0.3445772954081026,69927725.392902,51609548.606735,15295837.547477,15295837.547477,,2368463.818689,13445170.648237,15905175.466966,15905175.466966,85223562.940379,,,2368463.818689,,,,,,,0.0,1780370.394335,17534798.454723,15754428.060388,919173.464104,-1413529.665601,73312.806111,1839047.989389,28248.237908,448590.572113,2699543.858439,4540.516556000337,2704084.374995,2047781.248104,0.0,0.0,4.656612873077393e-10,1780370.394335,919173.464104,4540.516556000337,2704084.3749950007,4343488.248398,-1045820.858672,,-933489.959903,17962.513165,,-34495.269752,20819.145453,2368463.818689,,12079484.138017,-680181.62299,2047781.248104,-1929.075784,,13445170.648237,0.0,,,,,,,,,,,,,,,,,,,,,,,,2213099.295302,0.9024,0.8756,0.026799999999999935,0.9703014184397164,,,,,,,,,,,,
2412현대해상,2412,47977678.781769,9338046.174746,22671404.879625,11544378.935448,291443.449138,0.1946331379894593,0.4725406784006376,0.24061978879717583,43050529.728359,34801941.698072,4927149.05341,4927149.05341,0.0,-2554393.487321,7391376.926733,6117094.533974,6117094.533974,47977678.781769,,,-2554393.487321,,,,,,,0.0,1043102.677049,14073844.024081,13030741.347032,358768.638077,-893868.144558,37492.832181,1253769.8500080002,8387.248958,-30238.650596,1401871.315126,-35435.700262,1366435.614864,1030684.310373,0.0,1.7462298274040222e-10,0.0,1043102.677049,358768.638077,-35435.700262,1366435.614864,-497831.484009,123160.254155,297.746562,-2254297.346238,45713.672209,74579.773928,-60383.491757,13159.865317,-2554393.487321,1207.5225119998213,6526472.766844,-161769.1135,1030684.310373,,,7391376.926733,0.0,,,,,,,,,,,,,,,,,,,,,,,,4018336.788737,0.9790000000000001,1.015,-0.03599999999999981,1.0367722165474973,1145904135,-35254668,280333802,53419079,312340481,-1145904135,35254668,-280333802,-53419079,-312340481,-278280482,0.0
2412메리츠화재,2412,43358482.458819,7043831.964924,31071033.527892,1522762.519808,143704.78548,0.16245568491964837,0.7166079568721676,0.03512029096623224,37618396.153772,24357752.492165,5456356.625047,5740086.305047,283729.68,-171377.796805,5466333.303446,5472573.652983,5188843.972983,43358482.458819,,,-171377.796805,-1039455,,,,468466,-21170,,1533644.053333,8977073.128508,7443429.075175,761580.942493,-719221.843999,27919.351787,923263.9127299999,16289.049374,545908.571349,2295224.995826,3182.418989,2298407.414815,1710549.883383,0.0,-1.1641532182693481e-10,0.0,1533644.053333,761580.942493,3182.418989,2298407.414815,479733.856213,741810.31333,74408.922564,-1645780.074309,175504.288526,87148.058846,-9794.239411,,-171377.796805,-74408.92256400001,4547708.998364,-783490.0,1710549.883383,1239.141699,-9674.72,5466333.303446,0.0,,,,,,,,,,,,,,,,,,,,,,,,1793089.349103,0.9948999999999999,0.9018,0.09309999999999985,0.9064227560558852,304641,-915465,327976,10669,77325,-304641,915465,-327976,-10669,-77325,-42933,0.0
