key,Col2,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col48,Col49,Col50,Col51,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col65,Col66,Col68,Col69,Col70,Col71,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col92,Col93,Col94,Col95,Col96,Col97,Col99,Col107,Col108,Col109,Col111,Col112,Col113,Col114,Col115,Col116,Col117
2503미래,2503,32214588.505664,15112991.502851,12442117.804534,3110827.729214,142042.965503,0.469135,0.386226,0.096566,29747791.285061,26550413.233904,2466797.220603,2466797.220603,,-301370.406516,1967243.847174,2553237.949768,2553237.949768,,19288638.628703,-301370.406516,-368683.187835,-207613.646142,-1552.458403,277923.732519,0.72083,-1445.567485,38885.306583,265006.263782,226120.957199,352.608881,-16143.160979,249.762431,-6805.795387,5082.588551,28134.391367,39237.915464,-973.4016,38264.513864,24319.768175,38885.306583,352.608881,-973.4016,38264.513864,-190609.909176,294887.487859,,-468292.981578,62495.836189,-0.003762,149.163952,,-301370.406516,1942924.078999,,24319.768175,,,1967243.847174,384418.589201,2084726.635596,141039.171931,48372.703771,-100856.37374099992,14704.472198,2078212.038826,,,,1.8328,3451121.767,1883004.111,1031843.28691,0.8837151330504894,121713.099858,107559.70823499998,6030.4748850000005,-603.6913410000011,117072.54388499999,117676.23522599999,6634.166226000001,46543.094498,39908.928272
2503삼성,2503,281011504.0,34343581.0,168070744.0,45712850.0,22163909.0,0.122214,0.598092,0.162673,257067089.0,208066521.0,23944415.0,23944415.0,,11823636.0,14125017.0,25097358.0,25097358.0,,247992742.704,11823636.0,,-1232241.176,332651.778,629825.632,,-168778.21,277882.0,2419778.0,2141896.0,199067.0,-1915002.0,17501.0,2115048.0,76584.0,58104.0,476949.0,331502.0,808451.0,703719.0,277882.0,199067.0,331502.0,808451.0,13101010.0,2657362.0,,-4160329.0,226572.0,,-979.0,,11823636.0,14000586.0,,703719.0,228798.0,,14125017.0,2952908.822,13309045.961,657773.687866,361078.737897,-5717.243773999144,116046.661309,12902021.593491998,,,,1.7717,45193535.021242,25508612.706996,,0.8288932887836234,1286236.0804929999,1066152.454912,-6379.79269,,,,,,
2503교보,2503,126859785.228232,33157762.128662,61122832.921236,21902515.984605,2962428.410329,0.261373,0.481814,0.172651,120327285.76426,98627700.365508,4326773.255759,6532499.463972,2205726.208213,-3143991.714419,7199743.366868,7305017.718577,5099291.510364,,107824762.538846,-3143991.714419,,-1637076.515997,-2577.333679,341032.375113,,43236.383573,163110.340125,970191.269151,807080.929026,242344.822745,-1128993.921725,-546.077459,1126529.672331,15848.336368,261203.485966,405455.16287,4911.592125,410366.754995,315282.486839,163110.340125,242344.822745,4911.592125,410366.754995,-2205732.209538,893525.255866,338.356994,-1874117.708752,,,-216.375094,,-3143991.714419,7034002.116592,,315282.486839,,,7199743.366868,1350702.555229,6197895.089398,,,,,,,,,1.4584,13086745.11314,8973285.45932,,,,,,,,,,,
2503한화,2503,125760878.0,32387154.0,47946555.0,28551641.0,11733211.0,0.25753,0.381252,0.227031,115594958.0,101208409.0,8470815.0,10165920.0,1695105.0,,6994859.0,10335004.0,9238177.0,125760878.0,,,,-1543105.654,2802.564,-63898.88,,-126780.192,104208.0,1277935.0,1173727.0,20871.0,-1061434.0,998.0,1200739.0,23808.0,-95624.0,125079.0,27052.0,152131.0,121991.0,104208.0,20871.0,27052.0,152131.0,,990494.0,,-2079808.0,220069.0,2435.0,,,,6886477.0,,121991.0,,,6994859.0,1864985.407,8865711.566,488194.474406,198638.635245,-621622.3663179999,88637.080976,9109141.012571031,,,,1.5409,21074506.510383,13676442.356116,3933757.11,,,,-29178.843119,-48960.445182,,,19781.602063000002,,
2503신한라이프,2503,60193893.0,11699546.0,38140765.0,7640051.0,314581.0,0.194364,0.633632,0.126924,54035219.0,50191711.0,5859222.0,6158674.0,299452.0,-2162591.0,6622055.0,7062568.0,6763116.0,,52946842.340546,-2162591.0,,-1195741.254009,5381.057748,135823.583512,,-28718.203671,189026.0,764463.0,555284.0,41220.0,-452476.0,429.0,514161.0,3646.0,-17248.0,230246.0,-6961.0,223285.0,165632.0,189026.0,41220.0,-6961.0,223285.0,-1474062.0,686759.0,,-1420753.0,45143.0,,,,-2162591.0,6837420.0,,165632.0,,,6622055.0,1374282.302176,7424311.97132,,,,,,,,,1.8928,9210084.621961,4865809.175583,3904563.252756,,,,,,,,,,
2503동양,2503,35191700.895998,5927777.722747,20858794.351852,6559862.106122,115233.888909,0.168442,0.592719,0.186404,33666177.100012,29330677.006867,1180956.435239,1525523.795986,344567.360747,-1626743.836739,1596767.530773,2010539.027552,1665971.666805,,32627691.899,-1626743.836739,,-882337.067,21677.431,123434.964,,-23418.764,4071.067425,319287.703901,315216.636476,55389.596159,-270554.634358,3628.655164,290543.005667,869.929963,32642.499649,59460.663584,-5026.845763,54433.817821,46739.82659,4071.067425,55389.596159,-5026.845763,54433.817821,-1105739.275686,177597.736938,,-737731.928037,41351.162062,9.573212,-2231.105228,,-1626743.836739,1561498.237695,,46739.82659,,,1596767.530773,478288.599,2661177.135,190381.421389,62317.686078,-165780.03006500058,27804.561703,2671088.868056,1.2716316131756702,3386157.28057432,2662844.5262681097,1.2684,3377880.719607,2663121.885273,957628.506,,,,,,,,,,
2503KB라이프,2503,35021300.0,8556744.0,22820231.0,1852356.0,149744.0,0.24433,0.65161,0.052892,30859865.0,28915618.0,4111635.0,4161435.0,49800.0,27786.0,3105546.0,4537158.0,4487358.0,,,27786.0,,-338039.783,3913.767,-4563.67,,-9689.847,77253.0,218286.0,141033.0,43008.0,-330675.0,-92.0,353617.0,,20158.0,120261.0,503.0,120764.0,90315.0,77253.0,43008.0,503.0,120764.0,363125.0,433121.0,,-770000.0,-1883.0,,-38.0,,27786.0,3145930.0,-130000.0,90315.0,,-699.0,3105546.0,498152.267,2989728.043,,,,,,,,,2.3411,5545294.563,2368634.921,1133576.031,,,,,,,,,,
2503삼성화재,2503,86372190.309067,12738820.165581,38638753.217122,29515217.688414,750161.218737,0.147488,0.447352,0.341721,71349476.577413,51961988.308162,15022713.731654,15022713.731654,,2307195.774284,13233314.876819,15295837.547477,15295837.547477,86372190.309067,82790947.845,2307195.774284,,-623619.096,-26879.721,,,-130098.478,481593.295456,4809826.336022,4328233.040566,271543.41725,-347213.644878,21222.107439,493046.146959,7590.385282,112079.193012,753136.712706,1820.372823,754957.085529,555633.843427,481593.295456,271543.41725,1820.372823,754957.085529,2368463.818689,590563.053944,,,,,,,2307195.774284,13445170.648237,,555633.843427,40204.595255,,13233314.876819,1984155.517,14332820.293,701516.731312,406020.62437,-159055.184386,122470.220451,14073909.150312997,,,,2.6661,24913510.968226,9344644.265937,2686847.066,,,,,-23415.317218,,,7032.253756,,
2503현대해상,2503,49568315.070657,9926400.700203,24326805.158966,11238304.33217,289287.607938,0.200257,0.490773,0.226724,45355476.20741,36730148.738468,4212838.863247,4212838.863247,0.0,-3471898.922546,7594572.171795,4927149.05341,4927149.05341,49568315.070657,47352887.881,-3471898.922546,,-1466284.375,1438.116,,,-92788.58,175913.949482,3526542.728226,3350628.778744,109143.516292,-210361.307243,326.567188,329228.136553,2139.795879,-7910.084327,285057.465774,-12780.105645,272277.360129,203195.245062,175913.949482,109143.516292,-12780.105645,272277.360129,-2554393.487321,408663.006905,,-1329682.968961,7402.497308,172.757755,-5918.082416,1913.695536,-3471898.922546,7391376.926733,,203195.245062,,,7594572.171795,2122529.707,9164825.917,,,,,,,,,1.5943,13102618.962865,8218592.247673,4161025.251,,,,,,,,,,
2503메리츠화재,2503,44426134.909558,8243793.422945,30918911.814647,1450343.843757,145318.694397,0.185562,0.695962,0.032646,39173541.920856,25971651.582767,4968863.308702,5252592.988702,283729.68,-605835.305993,5413297.496289,5740086.305047,5456356.625047,44426134.909558,42265580.484,-605835.305993,,-944371.303,12387.199,,,-21511.037,359840.075626,2356025.936379,1996185.860753,262066.998393,-168056.83015,6245.607863,335937.977066,2400.919476,90341.16309,621907.074019,2109.6886,624016.762619,462513.372349,359840.075626,262066.998393,2109.6886,624016.762619,-171377.796805,445365.382448,,-1047086.231137,167532.899966,,-269.560465,,-605835.305993,5466333.303446,,462513.372349,,,5413297.496289,1533364.062,11116288.109,356790.723364,287644.244306,-179520.05046800003,89565.088154,11187889.718878994,,,,2.3892,13244081.824,5543397.35,2019070.605,,,,,,,,,,
2503KB손보,2503,41967068.0,9863694.0,21527844.0,6759615.0,443792.0,0.235034,0.51297,0.16107,36714834.0,28154589.0,5252234.0,5252234.0,,-1308069.0,6178599.0,5856441.0,5856441.0,41967068.0,39115584.798,-1308069.0,,-868716.655,5716.009,,,-40726.408,263066.0,2846282.0,2583216.0,165751.0,-191601.0,14006.0,266831.0,7098.0,83613.0,428817.0,1227.0,430044.0,319819.0,263066.0,165751.0,1227.0,430044.0,-684025.0,410666.0,,-1093595.0,59353.0,,-366.0,-162.0,-1308069.0,6158762.0,,319819.0,,,6178599.0,1499564.994,8729683.783,,,,,,,,,1.8216,11570133.782558,6351543.789326,3453706.433,,,,,,,,,,
2503DB손보,2503,55478145.040758,12079331.436026,23095516.511676,14886161.435429,1054193.133577,0.217731,0.416299,0.268325,47984999.893045,33766163.701419,7493145.147713,7493145.147713,,-2570999.788165,10143324.16422,8415998.6663,8415998.6663,55478145.040758,52112678.66,-2570999.788165,,-1129733.984,3024.849,,,-67033.87,402719.072061,3967475.55702,3564756.484959,243969.186837,-193577.348375,,315077.714526,9865.921332,132334.742018,646688.258898,-3377.021134,643311.237764,446986.592185,402719.072061,243969.186837,-3377.021134,643311.237764,-1609455.266593,268667.463932,,-1299601.127261,64453.720891,-2015.925585,374.98369,-1059.154212,-2570999.788165,10104633.161235,,446986.592185,,,10143324.16422,1969605.64,12207545.889,,,,,,,,,2.0466,20032630.546162,9788288.487766,3524045.736,,,,,,,,,,
