key,Col2,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col55,Col56,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col88,Col90,Col99
2506미래,2506,32215468.491141,15656028.855631,12053808.702816,3067006.105679,142042.965503,0.4859786180025997,0.3741621422060245,0.09520290249767445,29744745.599781,26726920.177778,2470722.89136,2470722.89136,,-347798.366721,2017597.478136,2553237.949768,2553237.949768,,-347798.366721,-514563.224048,-28949.164986,-2208.532674,198983.62318,0.724592,-1061.789737,-0.0030479999841190875,83561.575139,532293.41955,448731.844411,20415.610316,-594740.187898,483.380778,583102.945769,10167.640203,41737.11187,103977.185455,-2377.131308,101600.054147,74673.399137,0.0,-2.9103830456733704e-11,0.0,83561.575139,20415.610316,-2377.131308,101600.054147,-190609.909176,149007.451646,-290284.574693,-16444.27315,-0.003048,532.9417,,-347798.366721,0.0,1942924.078999,,,74673.399137,,,2017597.478136,0.0,24139969.938636,401723.316677,2185226.92247,2185226.92247,0.0,1075511.159716
2506삼성,2506,280990354.0,36026344.0,168569341.0,43113870.0,22764496.0,0.12821203107918785,0.5999114866412817,0.1534354093877543,255077729.0,207294908.0,25912625.0,25912625.0,,13354503.0,14562360.0,25097358.0,25097358.0,,13354503.0,12295118.0,-599004.0,,296614.0,,169381.0,,831345.0,4831273.0,3999928.0,289056.0,-4877218.0,34219.0,5170527.0,151376.0,112904.0,1120401.0,342072.0,1462473.0,1200474.0,0.0,0.0,0.0,831345.0,289056.0,342072.0,1462473.0,13101010.0,2703322.0,-2341608.0,-106640.0,,-1581.0,,13354503.0,,14000586.0,-808086.0,,1200474.0,169386.0,,14562360.0,0.0,190529574.0,3019268.0,13746066.0,13746066.0,0.0,
2506교보,2506,127213347.303222,33587374.99602,61044087.170703,21428384.401341,3302882.833591,0.2640239857533354,0.4798559936104826,0.16844446636770694,120412433.540692,99364709.846058,4595187.554316999,6800913.76253,2205726.208213,-3117696.479842,7441652.486049,7305017.718577,5099291.510364,,-3117696.479842,,,,,,,0.0,253601.557184,2150383.316392,1896781.759208,496917.777961,-2588369.498665,-1527.403432,2649300.0504849995,33009.466964,470524.096537,750519.335145,15386.836193,765906.171338,585307.486474,0.0,-2.9103830456733704e-10,0.0,253601.557184,496917.777961,15386.836193,765906.171338,-2205732.209538,315068.637157,-1131008.319808,,,-316.424137,,-3117696.479842,,7034002.116592,-120487.3068,,585307.486474,,-57169.810217,7441652.486049,0.0,,,,,,
2506한화,2506,126797032.0,33076346.0,49324233.0,27831192.0,11879500.0,0.26086056967011656,0.38900147915134164,0.21949403358274192,115121740.0,101055557.0,8606839.0,11675292.0,3068453.0,-2152928.0,7038532.0,10335004.0,9238177.0,126797032.0,-2152928.0,-1526317.0,-540612.0,,-287100.0,322578.0,-126780.0,,175999.0,2563295.0,2387296.0,14893.0,-2296931.0,2073.0,2566546.0,61091.0,-195704.0,190892.0,32549.0,223441.0,179701.0,0.0,0.0,0.0,175999.0,14893.0,32549.0,223441.0,-1362643.0,287662.0,-1077815.0,-3133.0,3000.0,,,-2152928.0,,6886477.0,,,179701.0,,-27646.0,7038532.0,0.0,,,8833097.0,8833097.0,0.0,3631205.0
2506신한라이프,2506,60224722.0,12155002.0,37152644.0,3941080.0,314581.0,0.20182744886726087,0.6169002158283106,0.06543957147697585,53792250.0,49900166.0,6133020.0,6432472.0,299452.0,-2065718.0,6798980.0,7062568.0,6763116.0,,-2065718.0,,,,,,,0.0,375476.0,1561218.0,1143462.0,90948.0,-1227390.0,4046.0,1361659.0,8195.0,-39172.0,466424.0,-10445.0,455979.0,345267.0,0.0,0.0,0.0,375476.0,90948.0,-10445.0,455979.0,-1474062.0,258621.0,-820048.0,-27057.0,,-3494.0,,-2065718.0,,6837420.0,-378307.0,,345267.0,,-5400.0,6798980.0,0.0,,,,,,
2506동양,2506,35647471.326781,5799448.636205,21635551.140032,6437918.571102,,0.16268892071028973,0.6069308799409227,0.1805995862114731,33949684.811107,29166616.193315,1353219.154927,1697786.515674,344567.360747,-1494513.592612,1636800.006334,2010539.027552,1665971.666805,,-1494513.592612,-996006.0,,,,,,,70419.566477,629541.28645,559121.719973,34568.13757,-641822.340707,7670.767234,609808.584337,1525.43315,60436.559856,104987.704047,-3945.7281520000106,101041.975895,86772.302151,0.0,6.548361852765083e-11,0.0,70419.566477,34568.13757,-3945.7281520000106,101041.975895,-1105739.275686,61379.546864,-448522.263028,-2125.207227,11.079939,-1441.997256,,-1494513.592612,1924.523782000062,1561498.237695,,,86772.302151,,-11470.533512,1636800.006334,0.0,,,,,,1146824.0
2506KB라이프,2506,35423110.0,8834727.0,22887011.0,1671739.0,219936.0,0.2494057410543569,0.6461039417487623,0.047193456475165506,31159446.0,29060877.0,4213864.0,4263664.0,49800.0,20868.0,3214693.0,4537158.0,4487358.0,,20868.0,,,,,,,0.0,151727.0,431335.0,279608.0,109808.0,-794387.0,-185.0,,,59922.0,261535.0,-423.0,261112.0,200155.0,0.0,,0.0,151727.0,109808.0,-423.0,261112.0,363125.0,102610.0,-430888.0,-14033.0,,54.0,,20868.0,,3145930.0,-130000.0,,200155.0,,-1392.0,3214693.0,0.0,,,,,,
2506삼성화재,2506,86078393.878755,11969379.353569,38563051.136619,29628952.175302,750161.218737,0.13905207583715337,0.4479991946752243,0.34420893374283457,70054256.140402,50968518.224509,16024137.738353,16024137.738353,,2920605.105803,13353245.747587,15295837.547477,15295837.547477,86078393.878755,2920605.105803,3222658.0,-247275.0,,93241.0,,-130921.0,,935730.895605,9516852.03589,8581121.140285,336858.707482,-608405.395807,-3254.860287,310040.31880599994,15608.990992,654087.635762,1272589.603087,4009.434175999835,1276599.037263,953860.485802,0.0,0.0,0.0,935730.895605,336858.707482,4009.434175999835,1276599.037263,2368463.818689,850860.417962,-239826.992312,-46768.580763,,-1382.148601,-10741.409172,2920605.105803,,13445170.648237,-807675.25654,-268083.804412,953860.485802,29992.62806,,13353245.747587,0.0,,,14577584.0,14577584.0,0.0,3191993.789572
2506현대해상,2506,49624610.984538,9402100.760464,24976528.089198,10831914.061045,288287.036702,0.18946447284782747,0.5033092974165615,0.21827705741451559,44887744.609789,36335172.151422,4736866.374749,4736866.374749,,-3195641.581442,7842342.342193,4927149.05341,4927149.05341,49624610.984538,-3195641.581442,-2549953.107349,,,,,,,388576.170672,7348626.05924,6960049.888568,240232.63452,-385698.049443,-11236.88514,660512.200699,5059.184689,-18285.446907,628808.805192,-23936.058687,604872.746505,450965.41546,0.0,2.9103830456733704e-11,0.0,388576.170672,240232.63452,-23936.058687,604872.746505,-2554393.487321,185237.166706,-786198.008465,-37202.977627,-51.171294,-4158.994476,-8026.046311,-3195641.581442,9151.937346000224,7391376.926733,,,450965.41546,,,7842342.342193,0.0,19180719.949384,1987815.447824,9422748.336614,9422748.336614,0.0,4326457.46719
2506메리츠화재,2506,44466739.671615,8911786.237605,30307679.529424,1392337.446824,146196.728373,0.20041465381582205,0.6815808793998602,0.031311885177693566,38752729.105954,25472225.285432,5430280.885661,5714010.565661,283729.68,-666728.796239,5935608.563494,5740086.305047,5456356.625047,44466739.671615,-666728.796239,,,,,,,0.0,724191.945967,4744667.88267,4020475.936703,604758.352688,-331473.587195,12901.049594,900397.9679790001,5347.044633,28279.966943,1328950.298655,2524.142953,1331474.441608,987254.371281,0.0,0.0,0.0,724191.945967,604758.352688,2524.142953,1331474.441608,-171377.796805,65576.448019,-562729.606785,2430.796122,,-628.63679,,-666728.796239,,5466333.303446,-513160.0,,987254.371281,,-4819.111233,5935608.563494,0.0,,,,,,2234057.342324
