key,Col2,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col48,Col49,Col50,Col51,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col88,Col95,Col96,Col97,Col99
2603미래,2603,32201238.251402,17004985.734272,11000897.152399,2703661.065564,142042.965503,0.528085,0.34163,0.083961,29807737.405234,26199434.861578,2393500.846168,2393500.846168,,-524743.402379,1767260.426226,2436501.555669,2436501.555669,,17696449.605192,-524743.402379,-1610092.746754,1219452.651648,-3698.844177,-135443.46613,0.758642,5038.244005,7700.435989,298146.437409,290446.00142,56071.215448,-512419.618354,303.574342,555497.598517,7491.372889,20181.033832,63771.651437,-2404.861443,61366.789994,48478.10439,7700.435989,56071.215448,-2404.861443,61366.789994,-432246.692496,-563844.856451,,585691.067069,-114905.729434,0.000387,562.808546,,-524743.402379,2067824.46822,,,48478.10439,,,1767260.426226,47258991.75386,838579.914494,4301298.054802,150676.902625,53711.370895,-17244.066766,25384.452036,,4301298.054802,1.6757,3717862.378,2218749.678,1309943.330217
2603삼성,2603,328870240.0,40432556.0,213745477.0,41810525.0,24334797.0,0.122944,0.649939,0.127134,254056469.0,192270671.0,74813771.0,74813771.0,,60684027.0,16133982.0,56416815.0,56416815.0,,292733394.549,60684027.0,47858357.0,14332448.164,216688.922,-1669639.487,6131.0,-189046.693,256477.0,2566027.0,2309550.0,774054.0,-2902189.0,16033.0,3184764.0,88009.0,563455.0,1030531.0,366829.0,1397360.0,1142110.0,256477.0,774054.0,366829.0,1397360.0,43358109.0,11609680.0,,6513078.0,-795639.0,,-1201.0,,60684027.0,15062944.0,-951747.0,,1142110.0,880675.0,,16133982.0,175377041.0,3246417.0,13647213.0,848566.0,367403.0,178535.0,126711.0,13217874.0,13647213.0,2.0993,82425849.706865,39264355.982512,1651848.937
2603교보,2603,128058989.898137,36597664.650127,59064842.435849,21528000.961847,3618504.416759,0.285788,0.461232,0.16811,119820416.316514,93723307.455192,6032847.37341,8238573.581623,2205726.208213,-1993223.112353,7754838.937653,7654759.167916,5449032.959703,,106113750.186226,-1993223.112353,,5362885.445846,4258.859706,-486340.052174,,51085.571161,184786.615531,1145094.212722,960307.597191,259420.202089,-1546393.686584,-535.88111,1590014.536065,16393.622759,232728.856477,444206.81762,323.717553,444530.535173,330140.4099,184786.615531,259420.202089,323.717553,444530.535173,-2397981.022366,-2259465.074327,54.191605,2952436.308024,-287259.749888,,-1007.765401,,-1993223.112353,7575782.433959,-119488.58425,,330140.4099,-2478.704693,-29116.617263,7754838.937653,,1411745.015959,6686948.974102,,,,,,,1.6041,14955695.18143,9323332.58481,1861045.970919
2603한화,2603,124017691.0,33449941.0,46287683.0,27466231.0,12316018.0,0.269719,0.373235,0.22147,110609536.0,92651527.0,10339702.0,13408155.0,3068453.0,-705811.0,7313064.0,12468776.0,9400323.0,124017691.0,,-705811.0,-12308114.0,6568740.67,12058.503,-1378003.268,376680.0,-131231.079,62394.0,1393738.0,1331344.0,217580.0,-840093.0,2493.0,1181110.0,30634.0,-95296.0,279974.0,28362.0,308336.0,247844.0,62394.0,217580.0,28362.0,308336.0,-1406135.0,-2153242.0,,3348982.0,-495451.0,,34.0,,-705811.0,7085336.0,,,247844.0,,,7313064.0,81670525.0,2053629.0,8920939.0,610934.0,191440.0,-300750.0,88542.0,8713652.0,8920939.0,1.6212,24041506.413363,14829357.424257,7108699.874
2603신한라이프,2603,57725150.0,13722907.0,34894563.0,6574452.0,339581.0,0.237728,0.604495,0.113892,51173547.0,45501659.0,6551603.0,6551603.0,,-1928009.0,7080424.0,6239294.0,6239294.0,,49272208.163754,-1928009.0,,3535369.178756,-220550.850996,-415948.743572,,-30200.731758,161305.0,849240.0,670648.0,-6378.0,-828849.0,-131.0,843689.0,5494.0,-15593.0,154927.0,-4863.0,150064.0,112027.0,161305.0,-6378.0,-4863.0,150064.0,-2128291.0,-1550815.0,,1959223.0,-206555.0,,,,-1928009.0,6968397.0,,,112027.0,,,7080424.0,,1387755.775026,7722407.005795,,,,,,,2.0114,10106825.96841,5024819.458573,5205187.917953
2603동양,2603,34461410.0,5177276.0,22414696.0,5387697.0,,0.150234,0.650429,0.15634,32635103.0,26584371.0,1826307.0,1826307.0,,-958677.0,1631417.0,1533971.0,1533971.0,,31840413.746,-958677.0,-2401548.0,1675021.699,-29465.756,-212729.542,15958.0,-17220.652,22385.0,330044.0,307659.0,12225.0,-354498.0,4172.0,360086.0,906.0,3371.0,34610.0,-77.0,34533.0,26692.0,22385.0,12225.0,-77.0,34533.0,-1224013.0,-701633.0,,1074360.0,-114481.0,10999.0,-3909.0,,-958677.0,1604417.0,,,26692.0,308.0,,1631417.0,23577842.0,495695.0,2510834.0,94465.0,,-3358.0,,2457095.0,2510834.0,1.8955,4345725.618,2292632.0,1202854.174
2603KB라이프,2603,34615191.0,9693200.0,21436913.0,1609004.0,229733.0,0.280027,0.619292,0.046483,30291203.0,27717972.0,4274188.0,4323988.0,49800.0,53878.0,3242007.0,4218588.0,4168788.0,,,53878.0,,2203188.481,13796.043,-85738.797,,-7038.544,66193.0,235846.0,169653.0,22704.0,-583746.0,-117.0,584470.0,,22097.0,88897.0,447.0,89344.0,83689.0,66193.0,22704.0,447.0,89344.0,31467.0,-1006850.0,,1065863.0,-36879.0,,-201.0,,53878.0,3159018.0,,,83689.0,,-700.0,3242007.0,,584946.85,3440843.631,,,,,,,2.5228,6073588.022,2407526.709,1417783.9
2603삼성화재,2603,97882334.562957,12293135.428307,48610126.175384,30208694.638965,1613589.433976,0.125591,0.496618,0.308623,74480197.568725,46834967.97305,23402136.994232,23402136.994232,,9664009.907876,13719756.396981,20627777.238043,20627777.238043,97882334.562957,93974400.977,9664009.907876,8478846.0,1483666.693,1421.145,-152399.0,123816.0,-147524.631,514384.371579,4743313.505209,4228929.13363,323418.153754,-386598.926389,38275.128584,553397.69564,8459.447682,126803.703601,837802.525333,-62629.808188,775172.717145,573350.321436,514384.371579,323418.153754,-62629.808188,775172.717145,6787628.922989,2162184.563288,,795605.027776,-78080.483693,,-1883.093862,-1445.028622,9664009.907876,14089861.430091,,-268083.804412,573350.321436,153577.417966,,13719756.396981,23158762.0,1711078.0,14469167.0,626732.0,399837.0,-44254.0,118861.0,14167664.0,14469167.0,2.7013,32948892.290724,12197625.679376,4665104.491
2603현대해상,2603,48660021.404364,8725327.725465,24454641.179437,10830873.937383,346988.179757,0.179312,0.502561,0.222583,43375029.249083,32856613.438141,5284992.155281,5284992.155281,,-2981805.458384,8245084.050604,4883487.466522,4883487.466522,48660021.404364,46106590.212,-2981805.458384,-5035562.085949,2241721.707,-31874.637,-429617.122679,341912.149052,-74039.447,302065.359795,3568874.095922,3266808.736127,7260.399109,-241726.215078,14313.263503,242711.938283,3422.642901,-4615.944698,309325.758904,-10038.969096,299286.789808,223267.480536,302065.359795,7260.399109,-10038.969096,299286.789808,-3159330.002857,-1230469.40015,,1606659.292462,-221791.103304,3370.288778,12128.382987,7627.0837,-2981805.458384,7952651.855381,,,223267.480536,68452.050937,,8245084.050604,16109951.3676,1717514.709408,9248462.979821,470829.587026,,-35465.20927,76509.599333,8977842.069322,9248462.979821,2.0716,14499299.119891,6999023.92168,4115017.212
2603메리츠화재,2603,43115899.748228,6939552.440989,31912573.007467,939868.37391,227356.906124,0.160951,0.740158,0.021799,37264179.477233,22092105.191429,5672524.950995,5851720.270995,179195.32,-736298.871021,6247416.202903,5854318.798795,5675123.478795,43115899.748228,41553663.926,-736298.871021,,2146907.371,-95696.053,,,-22202.671,334565.043124,2542627.405767,2208062.362643,296179.670347,-172008.519193,5785.350024,255716.450032,3263.283914,209949.673398,630744.713471,281.453617,631026.167088,466071.341331,334565.043124,296179.670347,281.453617,631026.167088,-759257.610688,-908846.501077,,1252461.098855,-320231.571358,,-424.286753,,-736298.871021,6272973.47037,-490000.0,,466071.341331,-9.512271,-1619.096527,6247416.202903,,1395562.909,10884318.596,,,,,,,2.4063,13904515.577,5778480.704,3225230.701
