account_id,label_kor,DB손해보험_연결_전기말,DB손해보험_연결_당기말,DB손해보험_별도_전기말,DB손해보험_별도_당기말,DB손해보험_연결_전기_누적,DB손해보험_별도_2025-03-31_누적,DB손해보험_연결_2025-03-31_누적,DB손해보험_별도_전기_누적,DB손해보험_연결_2025-12-31_단일,DB손해보험_별도_2025-12-31_단일,DB손해보험_별도_2025-03-31,DB손해보험_별도_2024-12-31,DB손해보험_연결_2025-03-31,DB손해보험_별도_당기_단일,DB손해보험_별도_2025-03-31_단일,DB손해보험_연결_당기_단일,DB손해보험_연결_2025-03-31_단일,DB손해보험_연결_2024-12-31,KB생명_연결_당기_단일,KB생명_연결_2025-03-31_누적,KB생명_연결_2025-03-31_단일,KB생명_연결_전기_누적,KB생명_별도_전기_누적,KB생명_별도_당기_단일,KB생명_별도_2025-03-31_누적,KB생명_별도_2025-03-31_단일,KB생명_연결_전기말,KB생명_연결_당기말,KB생명_별도_전기말,KB생명_별도_당기말,KB생명_연결_2025-03-31,KB생명_별도_2025-03-31,KB손해보험_연결_2025-03-31_누적,KB손해보험_별도_당기_단일,KB손해보험_연결_전기_누적,KB손해보험_연결_당기_단일,KB손해보험_별도_2025-03-31_누적,KB손해보험_별도_전기_누적,KB손해보험_별도_2025-03-31_단일,KB손해보험_연결_2025-03-31_단일,KB손해보험_별도_당기말,KB손해보험_연결_당기말,KB손해보험_연결_2025-03-31,KB손해보험_별도_2025-03-31,KB손해보험_연결_전기말,KB손해보험_별도_전기말,교보생명_연결_전기_누적,교보생명_별도_2025-03-31_누적,교보생명_연결_2025-03-31_누적,교보생명_별도_전기_누적,교보생명_연결_2025-03-31_단일,교보생명_연결_당기_단일,교보생명_별도_당기_단일,교보생명_별도_2025-03-31_단일,교보생명_연결_전기말,교보생명_별도_전기말,교보생명_별도_당기말,교보생명_연결_당기말,교보생명_연결_2025-03-31,교보생명_별도_2025-03-31,동양생명_별도_당기말,동양생명_별도_전기말,동양생명_연결_당기말,동양생명_연결_전기말,동양생명_별도_2025-03-31_단일,동양생명_별도_2025-03-31_누적,동양생명_별도_당기_단일,동양생명_별도_전기_누적,동양생명_연결_당기_단일,동양생명_연결_전기_누적,동양생명_연결_2025-03-31_단일,동양생명_연결_2025-03-31_누적,동양생명_별도_2025-03-31,동양생명_연결_2025-03-31,메리츠화재_연결_2025-03-31_누적,메리츠화재_연결_전기_누적,메리츠화재_별도_전기_누적,메리츠화재_별도_2025-03-31_누적,메리츠화재_연결_2025-03-31_단일,메리츠화재_연결_당기_단일,메리츠화재_별도_당기_단일,메리츠화재_별도_2025-03-31_단일,메리츠화재_별도_당기말,메리츠화재_별도_2025-03-31,메리츠화재_연결_당기말,메리츠화재_연결_2025-03-31,메리츠화재_별도_전기말,메리츠화재_연결_전기말,미래에셋생명_별도_당기말,미래에셋생명_별도_2025-03-31,미래에셋생명_연결_당기말,미래에셋생명_연결_2025-03-31,미래에셋생명_별도_전기_누적,미래에셋생명_별도_2025-03-31_누적,미래에셋생명_연결_전기_누적,미래에셋생명_연결_2025-03-31_누적,미래에셋생명_연결_전기말,미래에셋생명_별도_전기말,미래에셋생명_별도_2025-03-31_단일,미래에셋생명_별도_당기_단일,미래에셋생명_연결_당기_단일,미래에셋생명_연결_2025-03-31_단일,삼성생명_연결_전기_누적,삼성생명_별도_전기_누적,삼성생명_별도_2025-03-31_누적,삼성생명_연결_전기말,삼성생명_연결_당기말,삼성생명_별도_전기말,삼성생명_별도_당기말,삼성생명_연결_2025-03-31,삼성생명_별도_2025-03-31,삼성생명_연결_2025-03-31_누적,삼성생명_별도_2024-12-31,삼성생명_연결_2024-12-31,삼성생명_별도_당기_단일,삼성생명_별도_2025-03-31_단일,삼성생명_연결_당기_단일,삼성생명_연결_2025-03-31_단일,삼성생명_연결_2025-12-31_단일,삼성화재_별도_전기말,삼성화재_연결_당기말,삼성화재_연결_전기말,삼성화재_별도_당기말,삼성화재_연결_2025-03-31_누적,삼성화재_연결_전기_누적,삼성화재_별도_2025-03-31_누적,삼성화재_별도_전기_누적,삼성화재_연결_2024-12-31,삼성화재_별도_2025-03-31,삼성화재_별도_2024-12-31,삼성화재_연결_2025-03-31,삼성화재_연결_2025-03-31_단일,삼성화재_별도_당기_단일,삼성화재_별도_2025-03-31_단일,삼성화재_연결_당기_단일,신한라이프생명_별도_전기말,신한라이프생명_별도_당기말,신한라이프생명_연결_당기말,신한라이프생명_연결_전기말,신한라이프생명_연결_전기_누적,신한라이프생명_별도_2025-03-31_누적,신한라이프생명_별도_전기_누적,신한라이프생명_연결_2025-03-31_누적,신한라이프생명_별도_당기_단일,신한라이프생명_별도_2025-03-31_단일,신한라이프생명_연결_2025-03-31_단일,신한라이프생명_연결_당기_단일,신한라이프생명_별도_2025-03-31,신한라이프생명_연결_2025-03-31,한화생명_연결_전기_누적,한화생명_연결_2025-03-31_누적,한화생명_별도_2025-03-31_누적,한화생명_별도_전기_누적,한화생명_연결_당기말,한화생명_별도_전기말,한화생명_별도_당기말,한화생명_연결_전기말,한화생명_별도_2025-12-31_단일,한화생명_별도_2025-03-31_단일,한화생명_별도_당기_단일,한화생명_연결_2025-03-31_단일,한화생명_연결_당기_단일,한화생명_별도_2025-03-31,한화생명_연결_2025-03-31,한화생명_연결_2025-12-31_단일,한화생명_연결_2024-12-31,한화생명_별도_2024-12-31,현대해상_연결_전기_누적,현대해상_연결_2025-03-31_누적,현대해상_별도_전기_누적,현대해상_별도_2025-03-31_누적,현대해상_연결_당기_단일,현대해상_연결_2025-03-31_단일,현대해상_별도_2025-03-31_단일,현대해상_별도_당기_단일,현대해상_연결_당기말,현대해상_별도_2025-03-31,현대해상_연결_2025-03-31,현대해상_별도_당기말,현대해상_연결_전기말,현대해상_별도_전기말,현대해상_별도_2024-12-31,현대해상_연결_2024-12-31
dart_AdditionReversalOfCreditLossFinancialAssets,"기대신용손실전(환)입, 금융자산",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4913000000,,823000000,,952000000,,-4913000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-72247000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dart_AdditionalImpairmentLossesOfFinancialAssets,신용손실충당금 전입액,,,,,28730000000,22519000000,24530000000,27409000000,,,,,,27409000000,22519000000,28730000000,24530000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,823000000,823000000,952000000,952000000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11536555296,12359412925,9593333702,11981434463,,,,,11536555296,11981434463,9593333702,12359412925,,,,,8547000000,4868000000,8390000000,5005000000,8390000000,4868000000,5005000000,8547000000,,,10885000000,30967000000,22087000000,20493000000,,,,,,,,,,,,,,,3201872980,0,748882830,0,3201872980,0,0,748882830,,,,,,,,
dart_AdditionsToLeaseLiabilities,리스부채의 추가,,,,,13975000000,12651000000,13700000000,13401000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22398000000,25528000000,19100000000,21071000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dart_AdjustedProfitLossNetOfCapastropheReserve,비상위험준비금 반영후 조정이익,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286196000000,201649000000,193428000000,193428000000,292287000000,201649000000,292287000000,286196000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456586067669,464612265249,459833837240,453223639780,456586067669,464612265249,459833837240,453223639780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570089180709,663176661282,516692399108,601308267460,,,,,570089180709,601308267460,516692399108,663176661282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229407901917,192317085553,216229094585,191633166540,229407901917,192317085553,191633166540,216229094585,,,,,,,,
dart_AdjustedProfitLossNetOfRegulatoryReserve,감독목적상 적립금 전입(환입) 후 조정이익,,,,,-111773000000,104214000000,50591000000,-26980000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16519000000,,-83062000000,,-84731000000,,-17065000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dart_AdjustedProfitLossNetOfRegulatoryReserveForCreditLoss,대손준비금 반영후 조정이익(손실),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311880000000,211443000000,203223000000,203223000000,317972000000,211443000000,317972000000,311880000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181491392466,436543599744,431765171735,178128964577,181491392466,436543599744,431765171735,178128964577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,608916639242,636510386269,555519857641,574641992447,,,,,608916639242,574641992447,555519857641,636510386269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206438987745,200430604160,193275333251,199746685147,206438987745,200430604160,199746685147,193275333251,,,,,,,,
dart_AdjustedProfitLossNetOfSurrenderValueReserve,해약환급금준비금 반영후 조정이익,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-301966000000,27145000000,18924000000,18924000000,-295875000000,27145000000,-295875000000,-301966000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239894544164,222185470868,217407042859,236532116275,239894544164,222185470868,217407042859,236532116275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135282854154,100184193373,81886072553,38315799551,,,,,135282854154,38315799551,81886072553,100184193373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38043664706,61190701650,24864857374,60506782637,38043664706,61190701650,60506782637,24864857374,,,,,,,,
dart_AdjustedProfitLossPerShareNetOfRegulatoryReserve,감독목적상 적립금 전입(환입) 후 주당조정이익,,,,,-1843000000,1736000000,843000000,-445000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-106000000,,-532000000,,-543000000,,-109000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로 인한 자산 부채의 변동,,,,,4664163000000,1973939000000,2525882000000,4840623000000,,,,,,,,,,,,520784000000,,249412000000,258468000000,,544946000000,,,,,,,,2040952000000,,2992151000000,,2044991000000,2771672000000,,,,,,,,,151245591333,2013333822512,1849772859852,187594008274,,,,,,,,,,,,,,,,121993000000,,44403000000,,33809000000,,120182000000,,,-648229691642,1439189159770,1436613914417,-642712125483,,,,,,,,,,,,,,,-353734046737,-168945987873,-372165729472,-183448971048,,,,,,,-6042685000000,-4198440000000,-690849000000,,,,,,,-2113011000000,,,,,,,,,,,,3285587851313,3979577230931,3301329828705,3895315921762,,,,,,,,,,,,,-540172000000,-411572000000,-629369000000,-442257000000,,,,,,,668868000000,450841000000,740437000000,67104000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dart_AdvertisingExpenses,광고선전비,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254000000,,781000000,,781000000,,254000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5932000000,14099000000,5932000000,14099000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dart_AllowanceForCreditRiskAdjustment,신용위험조정충당금,-34000000,-533000000,-34000000,-533000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dart_AllowanceForOwnCreditRiskAdjustment,자기신용위험조정충당금,-4988000000,-8610000000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dart_AmountContractuallyRequiredToPayAtMaturityToHolderOfObligation,계약조건에 따라 채권자에게 만기에 상환하여야 할 금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2506080000000,,,2242481000000,,,,,,,,,,,,,,,,,,,,,,,,,,
