회사,킥스비율,가용자본,요구자본,킥스비율_당기,가용자본_당기,요구자본_당기
미래,176.7,3702239,2095393,167.6,3717862,2218750
삼성,198.0,65739719,33205192,209.9,,39264356
교보,165.66,14218131,8582488,161.92,,9236156
한화,157.5,22901084,14538834,162.1,,2823179
신한라이프,206.0,9873800,4793500,200.6,101068,50375
동양,179.8,4059496,2257298,185.8,4303642,2316843
KB라이프,272.19,5871662,2157159,277.79,6177666,2223900
삼성화재,262.87,29300000,11146300,270.13,329489,121976
현대해상,190.1,13958476,7340818,207.2,,6998915
메리츠화재,241.29999999999998,13350622,5532186,240.7,13907822,5776951
KB손보,191.54,12190866,6364632,188.01,,6629525
DB손보,218.2,21552235,9876353,232.1,22900513,9866554
